('01001211', 'Paradigm in Agricultural Extension')
('01003553', 'Herbicide Physiology')
('01003555', 'Crop Physiology under Environmental Stress')
('01003573', 'Biometrical Procedures in Plant Breeding')
('01003576', 'Advanced Plant Breeding II')
('01003577', 'Breeding for Resistance to Diseases & Insects')
('01003578', 'Breeding for Environmental Stress')
('01003579', 'Molecular Biology in Plant Breeding')
('01003581', 'Seed Physiology')
('01003582', 'Post Harvest Manage & Storage of Field Crops')
('01003592', ' Research Techniques in Crop Production')
('01003593', 'Stat & Compu.Packages in Agronomic Research')
('01003594', 'Analy.Methods for Quan.Gen.in Plant Breeding')
('01003596', 'Selected Topics in Agronomy')
('01003597', 'Seminar')
('01003598', 'Special Problems')
('01003599', 'Thesis')
('01003617', 'Molec Physio of Plant Response to Herbocide')
('01003651', 'Applied Physiology for Field Crop Production')
('01003671', 'Plant Breeding Perspective')
('01003679', 'Advanced Molecular Biology in Plant Breeding')
('01003681', 'Advanced Seed Science & Technology')
('01003694', 'Advan.Ana.Metho.for Quan.Gen.in Plant Breed.')
('01003697', 'Seminar')
('01003698', 'Special Problems')
('01003699', 'Thesis')
('01004211', 'Insect Science')
('01004212', 'Insect Classification & Diversity')
('01004431', 'Agricultural Mites & Management')
('01004432', 'Insect & Arthropod Pests Human & Animal Com.')
('01004433', 'Interactions between Insect & Plant Disease')
('01004441', 'Insect Structure & Functions')
('01004462', 'Insect Behavior')
('01004471', 'Arthropod Pest Management')
('01004472', 'Entomopathogenic Microorganisms & Products')
('01004481', 'Insecticides & Their Application')
('01004491', 'Basic Research Methodology in Entomology')
('01004497', 'Seminar')
('01004498', 'Special Problems')
('01004531', 'Insect Pollinator Management')
('01004532', 'Medical & Veterinary Entomology')
('01004533', 'Insect Vector Control')
('01004534', 'Household & Urban Insect Pests')
('01004536', 'Stored-Product Entomology')
('01004541', 'Insect Physiology')
('01004551', 'Systematic Entomology')
('01004553', 'Insect Taxonomy')
('01004561', 'Environmental Entomology')
('01004562', 'Biodiversity of Insects')
('01004581', 'Advanced Insecticide Toxicology I')
('01004582', 'Phytochemicals in Entomology')
('01004596', 'Selected Topics in Entomology')
('01004597', 'Seminar')
('01004598', 'Special Problems')
('01004599', 'Thesis')
('01004632', 'Medical.Important Arthropods & Their Control')
('01004697', 'Seminar')
('01004698', 'Special Problems')
('01004699', 'Thesis')
('01005101', 'Modern Agriculture Technology')
('01005212', 'Agricultural Machinery Drawing')
('01005213', 'Agricultural System Technology Management')
('01005221', 'Tropical Agricultural Machinery')
('01005222', 'Modern Equipments & Tools in Agri.System')
('01005325', 'Principles of Farm Machinery')
('01005331', 'Elementary Hydraulics')
('01005333', 'Sprinkler & Drip Irrigation System')
('01005334', 'Irrigation Systems & Water Management')
('01005371', 'Computer Application for Agriculture')
('01005399', 'Specific Practicum')
('01005416', 'Electrification in Agricultural Systems')
('01005424', 'Animal Housing & Equipment')
('01005425', 'Hydraulic & Pneumatic in Agricultural Systems')
('01005449', 'Tropical Greenhouse Management')
('01005451', 'Post Harvest Mechanization')
('01005462', 'Energy Management in Agricultural System')
('01005471', 'Computer Programming in Agricultural System')
('01005473', 'Com.Aided Design in Agri.Machin.Development')
('01005475', 'Image Processing in Agricultural System')
('01005476', 'Agri. Logistics & Supply Chain Management')
('01005491', 'Basic Research Methods in Aqri.System Tech.')
('01005496', 'Selected Topics in Agricultural System Tech.')
('01005497', 'Seminar')
('01005498', 'Special Problems')
('01005499', 'Special Tranining')
('01005514', 'Instrumentation & Data Handing')
('01005528', 'Greenhouse Technology')
('01005596', 'Selected Topics in Farm Mechanics')
('01006101', 'General Textiles & Clothing')
('01006111', 'Fundamental of Home Economics')
('01006121', 'Principles of Art & Application')
('01006181', 'Fundamental of Food & Nutrition')
('01006222', 'Fundamental of Design')
('01006224', 'Introduction to Interior Decoration')
('01006225', 'Creative Art of Local Wisdom')
('01006227', 'History of Visual Art')
('01006228', 'Art Appreciation')
('01006231', 'Human & Family Development')
('01006232', 'Human Development Theory')
('01006241', 'Textile Science')
('01006244', 'Clothing Management')
('01006245', 'Principles of Costume Design')
('01006271', 'Home Resources & Consumption Management')
('01006272', 'Family Health & Hygiene')
('01006311', 'Demonstration Techniques')
('01006321', 'Principles of Flower Arrangement')
('01006324', 'Perspective Drawing')
('01006328', 'Decorative Arrangement Display in Home Econ.')
('01006332', 'Activity & Play for Children')
('01006335', 'Stories for Children')
('01006336', 'Program Manage.for Infancy & Preschool Child')
('01006337', 'Program Management for Children & Youth')
('01006338', 'Program Management for Exceptional Child')
('01006344', 'Textile & Clothing Detergency')
('01006346', 'Clothing Construction by Flat Pattern')
('01006347', 'Fabric Design')
('01006348', 'History of Costume')
('01006349', 'Introduction to Apparel Business')
('01006371', 'Communication & Family Relations')
('01006399', 'General Praticum')
('01006421', 'Techniques of Flower Arrangement')
('01006424', 'Interior Decoration')
('01006431', 'Child Development Evaluation')
('01006444', 'Clothing for Children')
('01006447', 'Hand Woven Fabric Design')
('01006499', 'Specific Practicum')
('01006511', 'Home Economics for Development')
('01006554', 'Food & Nutrition Situation')
('01006555', 'Properties of Food Components')
('01006556', 'Fermented Food Product & Nutrition')
('01006559', 'Research Trends in Food & Nutrition')
('01006582', 'Advanced Nutrition in Life Cycle')
('01006587', 'Software Pack.Appli. Research  Food Nutrition')
('01006591', 'Research Methods in Home Economics')
('01006595', 'Independent Study')
('01006597', 'Seminar')
('01006598', 'Special Problems')
('01006599', 'Thesis')
('01006699', 'Thesis')
('01007101', 'Horticulture for Life Quality & Environment')
('01007271', 'Horticultural Science')
('01007311', 'Principles of Horticulture')
('01007371', 'Principles of Plant Propagation')
('01007399', 'Specific Practicum')
('01007413', 'Spices & Medicinal Plants')
('01007422', 'Vegetable Production Management')
('01007425', 'Indigenous Vegetables and Spices')
('01007431', 'Floriculture')
('01007433', 'Orchidology')
('01007441', 'Tropical Fruits')
('01007442', 'Subtropical Fruits')
('01007451', 'Physiology of Horticultural Crops')
('01007463', 'Landscape Design')
('01007465', 'Garden Maintenance I')
('01007472', 'Principles of Plant Tissue Culture')
('01007475', 'Horticultural Biotechnology')
('01007482', 'Postharvest Technology of Hort. Commodity')
('01007491', 'Basic Research Methods in Horticulture')
('01007496', 'Selected Topics in Horticulture')
('01007497', 'Seminar')
('01007498', 'Special Problems')
('01007521', 'Physiology of Vegetable Production')
('01007531', 'Physiology of Ornamental Plant Production')
('01007542', 'Industrial Fruit Crop II')
('01007551', 'Advan.Physio.of Horticultural Crop Produc.')
('01007575', 'Molecular Genetics for Horticultural Crops')
('01007581', 'Horticultural Seed Production')
('01007591', 'Research Methods in Horticulture')
('01007597', 'Seminar')
('01007598', 'Special Problems')
('01007599', 'Thesis')
('01007641', 'Advanced Fruit Crops Production')
('01007682', 'Advanced Postharvest Technology & Physiology')
('01007691', 'Advanced Research Methods in Horticulture')
('01007697', 'Seminar')
('01007698', 'Special Problems')
('01007699', 'Thesis')
('01008211', 'Introductory Plant Pathology')
('01008371', 'Principles of Plant Disease Control')
('01008411', 'Bacterial Diseases of Plants')
('01008421', 'Introduction to Mycology')
('01008424', 'Fungal Diseases of Plants')
('01008431', 'Plant Parasitic Nematodes')
('01008441', 'Introduction to Plant Virology')
('01008451', 'Molecular Plant Pathology')
('01008462', 'Disease of Field Crops II')
('01008463', 'Diseases of Fruit Crops')
('01008464', 'Diseases of Ornamental Plants')
('01008467', 'Phytopathology')
('01008468', 'Plant Pathogens')
('01008471', 'Chemicals Used in Plant Disease Control')
('01008473', 'Plant Disease Management in Nursery')
('01008474', 'Natural Products for Plant Protection')
('01008481', 'Diagnosis of Plant Diseases')
('01008485', 'Pesticides & Residue Analysis')
('01008496', 'Selected Topics in Plant Pathology')
('01008497', 'Seminar')
('01008498', 'Special Problems')
('01008511', 'Advanced Bacterial Diseases of Plants')
('01008521', 'Advanced Mycology')
('01008524', 'Genetics of Fungi')
('01008526', 'Phytopathogenic Microorganism C in A Pro')
('01008531', 'Advanced Nematology')
('01008541', 'Advanced Plant Virology')
('01008551', 'Physiological Plant Pathology')
('01008562', 'Ecology of Plant Pathogens')
('01008572', 'Natur.& Syn. Chem. in Plant Dise. Cont. Proc.')
('01008573', 'Biological Control of Plant Pathogens')
('01008575', 'Sustainable Plant Disease Control')
('01008576', 'Plant Disease Biosecurity')
('01008581', 'Advanced Seed Pathology')
('01008582', 'Postharvest Diseases of Perishable Crops')
('01008583', 'Post-harvest Plant Health and Quarantine')
('01008584', 'Plant Disease Diag.by Serology-Based Tech.')
('01008596', 'Selected Topics in Plant Pathology')
('01008597', 'Seminar')
('01008598', 'Special Problems')
('01008599', 'Thesis')
('01008674', 'Advan.Serology for  Plant Pathogen Diagnosis')
('01008697', 'Seminar')
('01008698', 'Special Problems')
('01008699', 'Thesis')
('01009102', 'Agricultural Resources & Environment')
('01009321', 'Fertilizers & Manures')
('01009399', 'Specific Practicum')
('01009411', 'Soil Information & Interpretation')
('01009412', 'Soil Resources Develop.as Sufficiency Economy')
('01009421', 'Soil Fertility')
('01009443', 'Soils of Thailand')
('01009444', 'Highland Soils')
('01009445', 'Soil Geography')
('01009452', 'Biofertilizer & Sustainable Agriculture')
('01009461', 'Soil Physics')
('01009471', 'Principles of Soil Management')
('01009472', 'Principles Soil & Water Conservation')
('01009481', 'Soil Pollution & Management')
('01009497', 'Seminar')
('01009498', 'Special Problems')
('01009531', 'Advanced Soil Chemistry')
('01009542', 'Soil Genesis & Classification')
('01009545', 'Geographic Information System in Soil Science')
('01009561', 'Soil Hydrology for Agriculture & Environment')
('01009572', 'Advanced Soil & Water Conservation')
('01009582', 'Soil Resourses & Land Uses')
('01009596', 'Selected Topics in Soil Science')
('01009597', 'Seminar')
('01009598', 'Special Problems')
('01009599', 'Thesis')
('01009632', 'Clay Mineralogy')
('01009643', 'Tropical Soil Management')
('01009691', 'Advanced Research Methods in Soil Science')
('01009696', 'Selected Topics in Soil Science')
('01009697', 'Seminar')
('01009698', 'Special Problems')
('01009699', 'Thesis')
('01010111', 'Elementary Geology')
('01011443', 'Postharvest Pest Management')
('01011451', 'Agricultural & Urban Ecosystem Management')
('01011452', 'Crop Loss Assess.& Forecas.of Pest Outbreaks')
('01011453', 'Computer Application in Pest Management')
('01011471', 'Pesticides & Pesticide Management')
('01011491', 'Research Methodology in Pest Management')
('01011496', 'Selected Topics in Pest Management')
('01011497', 'Seminar')
('01011498', 'Special Problems')
('01012399', 'General Practicum in Agriculture')
('01012482', 'Agricultural Chemical & Environmental Impacts')
('01012496', 'Selected Topics in Agricultural Chemistry')
('01012497', 'Seminar')
('01012498', 'Special Problems')
('01012499', 'Specific Practicum in Agricultural Chemistry')
('01013221', 'Tropical Entomology')
('01013232', 'Introduction to Tropical Horticulture')
('01013299', 'General Practicum')
('01013322', 'Tropical Plant Disease Management')
('01013331', 'Tropic.Field Crop Produc.for Food,Feed & Fuel')
('01013332', 'Economic Tropical Horticultural Crops')
('01013341', 'Tropical Soil Resources')
('01013399', 'Specific Practicum')
('01013498', 'Special Problems')
('01013591', 'Research Methods in Tropical Agriculture')
('01013596', 'Selected Topics in Tropical Agriculture')
('01013597', 'Seminar')
('01013599', 'Thesis')
('01013691', 'Advanced Research Methods in Tropical Agri.')
('01013697', 'Seminar')
('01013699', 'Thesis')
('01015201', 'Science & Technology in Crop Production')
('01015202', 'Thai Lives Agriculture')
('01015299', 'General Practicum')
('01015490', 'Co-operative Education')
('01015499', 'Specific Practicum')
('01016201', 'Introduction to Agricultural Biotechnology')
('01016203', 'Laboratory in Agriculture Biotechnology')
('01017211', 'Principles of Cookery')
('01017213', 'Science of Cookery')
('01017221', 'Human Nutrition')
('01017222', 'Nutritional Assessment')
('01017313', 'Food Safety')
('01017314', 'Principles of Food Preservation')
('01017315', 'Presentation Techniques in Food & Nutrition')
('01017317', 'Beverage Operation')
('01017318', 'International Cuisine')
('01017319', 'Bakery')
('01017323', 'Diet Therapy')
('01017325', 'Nutrition.Assess.for Hospitalized Patients')
('01017413', 'Quality Assurance in Food Bus.& Service Tech.')
('01017415', 'Food Product Design & Development')
('01017423', 'Food,Environment & Health')
('01017424', 'Hospital Food Service Management')
('01017425', 'Professional Ethics & Laws for Dietitian')
('01017498', 'Special Problems')
('01017499', 'Specific Practicum in Food & Nutrition')
('01018511', 'Advanced Agri.Production Systems Management')
('01018512', 'Advanced Agricultural Logistics Management')
('01018522', 'Tech. Manage.for Tropical Organic Farming')
('01018551', 'Drying Technology & System Analysis')
('01018553', 'Packing House Technology')
('01018554', 'Agricultural Product Packaging')
('01018562', 'Solar Energy in Agricultural Systems')
('01018571', 'Information & Communication Tech.in Agri.Sys.')
('01018574', 'Com.for Research in  Agri. System Technology')
('01018591', 'Research Methods in Agri.Systems Technology')
('01018596', 'Selected Topics in Agri.Systems Technology')
('01018597', 'Seminar')
('01018598', 'Special Problems')
('01018599', 'Thesis')
('01021241', 'Animal Ethology')
('01021341', 'Animal Housing, Equipment & Automation System')
('01021427', 'Pet Care')
('01021442', 'Animal Reproductive Technology')
('01021496', 'Selected Topics in Industrial Animal Science')
('01021498', 'Special Problems')
('01025251', 'Agricultural Production System')
('01025333', 'Laboratory in Tropical Agriculture')
('01051111', 'Principles of Biotechnology')
('01051211', 'Biological Materials & Their Mechanisms')
('01051212', 'Lab.in Bio.Materials & Their Mechanisms')
('01051232', 'Unit Operation in Agro-Industry II')
('01051313', 'Data Analysis for Biotechnologist')
('01051322', 'Biotechnology in Non-food Industry')
('01051334', 'Biochemical Engineering')
('01051361', 'Microbial Biochemistry & Regulation')
('01051465', 'Quality & Safety Control Sys. in Ferment.Ind.')
('01051471', 'Biotechnology Design')
('01051472', 'Innovation & Bus.Opportunities in Biotech.')
('01051487', 'Alcoholic Beverage Technology')
('01051496', 'Selected Topics in Biotechnology')
('01051499', 'Biotechnology Project')
('01051501', 'Intensive Biotechnology for Graduate')
('01051521', 'Product Recovery Technology')
('01051524', 'Renewable Resources Technology')
('01051532', 'Computer Application for Bioprocess')
('01051561', 'Gene Technology')
('01051567', 'Laboratory in Gene Technology')
('01051571', 'Bio-Industry')
('01051591', 'Research Method. in Biotech. in Agro-Industry')
('01051596', 'Selected Topics in Biotechnology')
('01051597', 'Seminar')
('01051598', 'Special Problems')
('01051599', 'Thesis')
('01051631', 'Biosystems Engineering')
('01051662', 'Adv.in Regulation & Ctrl. Microbial Synthesis')
('01051691', 'Advan.Research Methods in Agro-Indus.Biotech.')
('01051696', 'Selected Topics in Biotechnology')
('01051697', 'Seminar')
('01051698', 'Special Problems')
('01051699', 'Thesis')
('01052121', 'Raw Materia. Hand. & Prepara. in Food Indus.')
('01052202', 'Food Processing')
('01052212', 'Food & Nutrition')
('01052233', 'Unit Operation in  Food Engineering')
('01052314', 'Prin.of Chemical & Physical Analysis for Food')
('01052315', 'Lab.for Prin.of Chem.& Phys.Analysis for Food')
('01052323', 'Food Process Technology')
('01052340', 'Food Quality Measurement & Shelf-life Evalua.')
('01052342', 'Sensory & Shelf-life Evalu.of Food Product')
('01052344', 'Food Plant Sanitation')
('01052351', 'Creation of New Food Product Concept')
('01052363', 'Microbiology of Food Products')
('01052399', 'Practicum I')
('01052428', 'Technology of Meat, Poultry & Products')
('01052445', 'Hazard Analysis & Critical Control Point')
('01052472', 'Practical Skills for Food Industry')
('01052484', 'Non-Alcoholic Beverage Technology')
('01052492', 'Research Techniques II')
('01052497', 'Seminar')
('01052499', 'Practicum II')
('01052514', 'Protein in Foods')
('01052517', 'Advanced Food Science')
('01052523', 'Food Analysis')
('01052596', 'Selected Topics in Food Science & Technology')
('01052597', 'Seminar')
('01052598', 'Special Problems')
('01052599', 'Thesis')
('01052691', 'Advanced Research Methods in Food Science')
('01052697', 'Seminar')
('01052698', 'Special Problems')
('01052699', 'Thesis')
('01053111', 'Prin.of Packaging Technology & Materials')
('01053213', 'Paper Packaging')
('01053221', 'Prin.of Packaging Technology & Materials')
('01053302', 'Food Packaging Technology')
('01053315', 'Physico-Chemical Analysis of Materials')
('01053316', 'Biopolymer Science')
('01053321', 'Packaging Technology Systems')
('01053331', 'Packaging Dynamics')
('01053341', 'Packaging Standards & Regulations')
('01053355', 'Graphic Design for Packages')
('01053425', 'Packaging & Distri. of Agricultural Produces')
('01053432', 'Packaging Machinery')
('01053433', 'Instrument & Measurements in PKT.& Materials')
('01053441', 'Packaging Process Analysis')
('01053453', 'Package Prototype Construction')
('01053459', 'Consumers Behavior for Package Development')
('01053481', 'Rubber Science & Technology')
('01053491', 'Basic Research Methods in Packaging Tech.')
('01053497', 'Seminar')
('01053511', 'Food Contact Material')
('01053522', 'Phase Transitions in Food Packaging')
('01053527', 'Active & Intelligent Packaging Technology')
('01053528', 'Function.Modification of Packaging Materials')
('01053591', 'Research Methods in Packaging Technology')
('01053597', 'Seminar')
('01053599', 'Thesis')
('01053697', 'Seminar')
('01053699', 'Thesis')
('01054241', 'Standard & Regulations for Agro-Ind. Prod.')
('01054243', 'Biological Quality Measurement')
('01054244', 'Laboratory in Biological Quality Measurement')
('01054251', 'Packaging Materials for Product Development')
('01054301', 'General Agricultural Product Development')
('01054323', 'Processing of Agro-Industrial Products II')
('01054324', 'Lab. in Processing of Agro-Ind. Products II')
('01054343', 'Laboratory in Physical Quility Measurement')
('01054353', 'Principles of Process Development')
('01054354', 'Lab. in Principles of Process Development')
('01054355', 'Statistics for Product Development')
('01054390', 'Cooperative Education Preparation')
('01054443', 'Quality Management in Agro-Industry')
('01054451', 'Techniques for Product Development')
('01054452', 'Lab. in Techniques for Product Development')
('01054456', 'Nutritional Product Development')
('01054462', 'Consumer Research for Agro-Indus.Pro.Develop.')
('01054463', 'Development of Meat & Poultry Product')
('01054465', 'Emulsion Product Development')
('01054467', 'Quailty Assurance in Agro-Industry')
('01054491', 'Research Methods in Agro-Industrial PD.')
('01054492', 'Skills Ethics Research Product Develop.Career')
('01054496', 'Selec.Topics in Agro-Indus.Product Develop.')
('01054548', 'Sensory Evaluation for Product Development')
('01054551', 'Development of Agro-Industrial Products')
('01054564', 'Develop.of Entrepreneurship for Innova.Bus.')
('01054591', 'Research Methods in Agro-Ind. Product Devel.')
('01054595', 'Independent Study')
('01054596', 'Selected Topics in Agro-Ind. Prod. Devel.')
('01054597', 'Seminar')
('01054599', 'Thesis')
('01054622', 'Agro-Indus.Pro.Design by High Press.Process.')
('01054691', 'Adv.Research Methods in Agro-Ind. Prod.Devel.')
('01054696', 'Selected Topics in Agro-Ind. Prod. Devel.')
('01054697', 'Seminar')
('01054699', 'Thesis')
('01055131', 'Textile Development Techniques I')
('01055132', 'Lab. for Teatile Development Techniques I')
('01055151', 'Apparel Technology')
('01055211', 'Fiber & Fabric Science')
('01055212', 'Laboratory in Fiber & Fabric Science')
('01055213', 'Textile Chemical Processes')
('01055214', 'Laboratory in Textile Chemical Processes')
('01055242', 'Fashion Illustration & Presentation Tech.')
('01055312', 'Synthetic Fiber Technology')
('01055315', 'Natural Fibers')
('01055331', 'Apparel Production Processes')
('01055342', 'Fashion Styles & Materials')
('01055344', 'Textile Printing Design')
('01055411', 'Auxiliaries inTextile Production Processes')
('01055442', 'Fashion Design Collection Presentation')
('01055461', 'Quality Mgt. in Textile & Apparel Manuf.')
('01055462', 'Textile & Product Industrial Management')
('01055463', 'Fashion Branding')
('01055465', 'Global Textiles & Apparel Production & Trade')
('01055496', 'Selected Topics in Textile Science &Tech.')
('01055498', 'Special Problems')
('01055499', 'Textile Science & Technology Project')
('01055564', 'Innovation Manag.in Textile & Fashion Bus.')
('01055596', 'Sel.Topics in Textile Ind.Tech.& Merchand.')
('01055597', 'Seminar')
('01055599', 'Thesis')
('01057512', 'Data Mining for Agro-Industry')
('01057534', 'Prin.of Supply Chain Manag.for Agro-Indus.')
('01057536', 'Agro-Industrial Product Pricing Analysis')
('01057537', 'Strategic Value Chain Mange.for Agro-Industry')
('01057571', 'Financial Analysis for Agro-Industry')
('01057578', 'Intellectual Capital Manage.for Agro-Indus.')
('01057595', 'Independent Study')
('01057596', 'Selected Topics in Agro-Indus.Tech Manage.')
('01057597', 'Seminar')
('01057598', 'Special Problems')
('01057599', 'Thesis')
('01057696', 'Selected Topics in Agro-Indus.Techno.Mang.')
('01057697', 'Seminar')
('01057698', 'Special Problems')
('01057699', 'Thesis')
('01058122', 'Agro-Industrial Processing Technology II')
('01058221', 'Prin.of Process Engineering in Agro-Industry')
('01058242', 'Chemical Quality Analysis in Agro-Industry')
('01058252', 'Prin.Innovative Agro-Indus.Product Develop.')
('01058372', 'Sani.Safety Manag.System Agro-Indus.Product')
('01058451', 'Agro-Industrial Product Innovation Management')
('01058452', 'Nutrition.Product Innovation for Agro-Indus.')
('01058461', 'Consumer Research Agro-Indus.Product Innova.')
('01058462', 'Prin.of Quality Management in Agro-Industry')
('01058491', 'Basic Research Methods Agro-Indus.Inno.Tech.')
('01058497', 'Seminar')
('01060501', 'Intensive Food Science in Food Engineering')
('01060511', 'Advanced Food Engineering')
('01060522', 'Modeling in Food Process')
('01060532', 'Food Freezing & Chilling Process Engineering')
('01060533', 'Advanced Drying Engineering')
('01060597', 'Seminar')
('01060598', 'Special Problems')
('01060599', 'Thesis')
('01073522', 'Sugar Biochemical Techniques')
('01073532', 'Sugar Technology II')
('01073533', 'Sugar Process Control')
('01073597', 'Seminar')
('01073598', 'Special Problems')
('01101101', 'General Economics in Globalization')
('01101171', 'Mathematical Economics I')
('01101181', 'Microeconomics I')
('01101182', 'Macroeconomics I')
('01101221', 'Managerial Economics')
('01101231', 'Labour & Industrial Economics')
('01101232', 'Introductory Transportation Economics')
('01101261', 'Intro.to Natural Resource & Envi.Econ.')
('01101272', 'Economic Statistics I')
('01101281', 'Microeconomics II')
('01101282', 'Macroeconomics II')
('01101312', 'Thai Economy')
('01101314', 'Economic Development')
('01101316', 'Urban Economics')
('01101321', 'Financial Business Economics')
('01101331', 'Economics of Industrial Organization')
('01101334', 'Economics of Location')
('01101335', 'Labour Market Analysis')
('01101361', 'Natural Resource Economics')
('01101362', 'Environmental Economics')
('01101371', 'Economics Statistics II')
('01101372', 'Econometrics I')
('01101373', 'Mathematical Economics III')
('01101382', 'Microeconomics III')
('01101383', 'Macroeconomics III')
('01101404', 'Economics of Household Finance')
('01101413', 'Project Preparation & Evaluation')
('01101414', 'Economic Administration')
('01101421', 'Business Economics Forecasting')
('01101424', 'Business Economics of Strategy')
('01101425', 'Business Economics Ethics')
('01101432', 'Game Theory & Its Application in Indus.Econ.')
('01101441', 'International Trade Policy')
('01101443', 'Theory International Finance')
('01101444', 'International Finance Policy')
('01101446', 'Economics of International Integration')
('01101451', 'Monetary Theory & Policy')
('01101452', 'Financial Market Theory')
('01101453', 'Economics of Monetary Fluctuations')
('01101454', 'Financial Institutions & the Economy')
('01101455', 'Fiscal Theory & Policy')
('01101457', 'Economics of Government Revenue')
('01101462', 'Energy Resources Economics')
('01101472', 'Operations Research for Economic Applications')
('01101474', 'Econometrics II')
('01101491', 'Research Methods in Economics')
('01101497', 'Seminar')
('01101498', 'Special Problems')
('01101511', 'Theory of Economic Development')
('01101512', 'Theory of Economic Planning')
('01101514', 'Economics of Project Analysis')
('01101521', 'Advanced Transportation Economics')
('01101541', 'Advanced International Trade Theory')
('01101542', 'Advanced International Finance Theory')
('01101552', 'Advanced Public Finance Theory')
('01101561', 'Advanced Environmental Economics')
('01101571', 'Advanced Mathematical Economics I')
('01101572', 'Advanced Economic Statistics')
('01101581', 'Microeconomic Theroy I')
('01101582', 'Macroeconomic Theory I')
('01101591', 'Advanced Research Methodology in Economics')
('01101596', 'Selected Topics in Economics')
('01101597', 'Seminar')
('01101599', 'Thesis')
('01101699', 'Thesis')
('01102697', 'Seminar')
('01102699', 'Thesis')
('01107622', 'Advanced Econometrics III')
('01110531', 'Advanced Financial Business Economics')
('01110541', 'Advanced Marketing Business Economics')
('01110551', 'Business Econ. of Project Analysis & Evalua.')
('01110591', 'Research Methods for Business Economics')
('01110595', 'Independent Study')
('01110599', 'Thesis')
('01111112', 'Principles of Macroeconomics')
('01111122', 'Statistics for Economists')
('01111151', 'Introduction to Information Technology Econ.')
('01111214', 'Intermediate Macroeconomics')
